mass_A
t,x,y,v_{x},v_{y}
1.372500000E1,-7.035789480E0,4.594490622E-1,-6.951781737E0,2.317260579E0
1.373333333E1,-7.035789480E0,4.594490622E-1,4.634521158E0,-4.634521158E0
1.374166667E1,-6.958547461E0,3.822070429E-1,1.853808463E1,-9.269042316E0
1.375000000E1,-6.726821403E0,3.049650236E-1,1.158630289E1,-2.317260579E0
1.375833333E1,-6.765442413E0,3.435860333E-1,9.269042316E0,-2.317260579E0
1.376666667E1,-6.572337364E0,2.663440140E-1,1.622082405E1,-6.951781737E0
1.377500000E1,-6.495095345E0,2.277230043E-1,1.390356347E1,-2.317260579E0
1.378333333E1,-6.340611307E0,2.277230043E-1,1.622082405E1,-4.634521158E0
1.379166667E1,-6.224748278E0,1.504809850E-1,1.853808463E1,-6.951781737E0
1.380000000E1,-6.031643229E0,1.118599754E-1,1.853808463E1,-2.317260579E0
1.380833333E1,-5.915780200E0,1.118599754E-1,2.317260579E1,-4.634521158E0
1.381666667E1,-5.645433133E0,3.461795609E-2,3.012438753E1,-4.634521158E0
1.382500000E1,-5.413707075E0,3.461795609E-2,2.780712695E1,-0.000000000E0
1.383333333E1,-5.181981017E0,3.461795609E-2,3.244164810E1,-0.000000000E0
1.384166667E1,-4.873012940E0,3.461795609E-2,3.475890868E1,1.658861516E-13
1.385000000E1,-4.602665872E0,3.461795609E-2,4.402795100E1,1.658861516E-13
1.385833333E1,-4.139213757E0,3.461795609E-2,3.939342984E1,-1.658861516E-13
1.386666667E1,-3.946108708E0,3.461795609E-2,2.780712695E1,-1.658861516E-13
1.387500000E1,-3.675761641E0,3.461795609E-2,5.376044543E2,2.317260579E0
1.388333333E1,5.013965530E0,7.323896574E-2,5.352871937E2,6.951781737E0
1.389166667E1,5.245691588E0,1.504809850E-1,2.780712695E1,4.634521158E0
1.390000000E1,5.477417646E0,1.504809850E-1,2.780712695E1,2.317260579E0
1.390833333E1,5.709143704E0,1.891019947E-1,3.012438753E1,4.634521158E0
1.391666667E1,5.979490771E0,2.277230043E-1,2.317260579E1,2.317260579E0
1.392500000E1,6.095353800E0,2.277230043E-1,1.390356347E1,2.317260579E0
1.393333333E1,6.211216829E0,2.663440140E-1,1.390356347E1,6.951781737E0
1.394166667E1,6.327079858E0,3.435860333E-1,1.390356347E1,6.951781737E0
1.395000000E1,6.442942887E0,3.822070429E-1,1.158630289E1,4.634521158E0
1.395833333E1,6.520184906E0,4.208280526E-1,1.158630289E1,2.317260579E0
1.396666667E1,6.636047935E0,4.208280526E-1,1.158630289E1,2.317260579E0
1.397500000E1,6.713289954E0,4.594490622E-1,6.951781737E0,-0.000000000E0
1.398333333E1,6.751910964E0,4.208280526E-1,-2.317260579E0,-6.951781737E0
1.399166667E1,6.674668945E0,3.435860333E-1,-6.951781737E0,-6.951781737E0
1.400000000E1,6.636047935E0,3.049650236E-1,-1.390356347E1,-6.951781737E0
1.400833333E1,6.442942887E0,2.277230043E-1,-1.158630289E1,-4.634521158E0
1.401666667E1,6.442942887E0,2.277230043E-1,-6.951781737E0,-4.634521158E0
1.402500000E1,6.327079858E0,1.504809850E-1,-1.158630289E1,-6.951781737E0
1.403333333E1,6.249837839E0,1.118599754E-1,-1.390356347E1,-4.634521158E0
1.404166667E1,6.095353800E0,7.323896574E-2,-2.085534521E1,-2.317260579E0
1.405000000E1,5.902248752E0,7.323896574E-2,-2.317260579E1,-0.000000000E0
1.405833333E1,5.709143704E0,7.323896574E-2,-2.317260579E1,-0.000000000E0
1.406666667E1,5.516038655E0,7.323896574E-2,-2.085534521E1,-0.000000000E0
1.407500000E1,5.361554617E0,7.323896574E-2,-3.012438753E1,-0.000000000E0
1.408333333E1,5.013965530E0,7.323896574E-2,-3.707616926E1,-0.000000000E0
1.409166667E1,4.743618462E0,7.323896574E-2,-3.012438753E1,-0.000000000E0
1.410000000E1,4.511892405E0,7.323896574E-2,-2.780712695E1,-0.000000000E0
1.410833333E1,4.280166347E0,7.323896574E-2,-3.244164810E1,2.317260579E0
1.411666667E1,3.971198269E0,1.118599754E-1,-3.012438753E1,2.317260579E0
1.412500000E1,3.778093221E0,1.118599754E-1,-3.707616926E1,-0.000000000E0
1.413333333E1,3.353262115E0,1.118599754E-1,-5.399217149E2,2.317260579E0
1.414166667E1,-5.220602027E0,1.504809850E-1,-5.260181514E2,2.317260579E0
1.415000000E1,-5.413707075E0,1.504809850E-1,-2.317260579E1,4.634521158E0
1.415833333E1,-5.606812123E0,2.277230043E-1,-2.317260579E1,4.634521158E0
1.416666667E1,-5.799917172E0,2.277230043E-1,-2.317260579E1,2.317260579E0
1.417500000E1,-5.993022220E0,2.663440140E-1,-2.085534521E1,2.317260579E0
1.418333333E1,-6.147506258E0,2.663440140E-1,-1.853808463E1,4.634521158E0
1.419166667E1,-6.301990297E0,3.435860333E-1,-1.853808463E1,6.951781737E0
1.420000000E1,-6.456474336E0,3.822070429E-1,-1.622082405E1,4.634521158E0
1.420833333E1,-6.572337364E0,4.208280526E-1,-9.269042316E0,2.317260579E0
1.421666667E1,-6.610958374E0,4.208280526E-1,-2.317260579E0,2.317260579E0
1.422500000E1,-6.610958374E0,4.594490622E-1,-4.634521158E0,2.317260579E0
1.423333333E1,-6.688200393E0,4.594490622E-1,-2.317260579E0,-2.317260579E0
1.424166667E1,-6.649579384E0,4.208280526E-1,9.269042316E0,-4.634521158E0
1.425000000E1,-6.533716355E0,3.822070429E-1,1.158630289E1,-2.317260579E0
1.425833333E1,-6.456474336E0,3.822070429E-1,9.269042316E0,-2.317260579E0
1.426666667E1,-6.379232316E0,3.435860333E-1,9.269042316E0,-2.317260579E0
1.427500000E1,-6.301990297E0,3.435860333E-1,1.158630289E1,1.658861516E-13
1.428333333E1,-6.186127268E0,3.435860333E-1,1.853808463E1,-2.317260579E0
1.429166667E1,-5.993022220E0,3.049650236E-1,2.548986637E1,-2.317260579E0
1.430000000E1,-5.761296162E0,3.049650236E-1,2.317260579E1,-4.634521158E0
1.430833333E1,-5.606812123E0,2.277230043E-1,1.853808463E1,-4.634521158E0
1.431666667E1,-5.452328085E0,2.277230043E-1,1.853808463E1,1.658861516E-13
1.432500000E1,-5.297844046E0,2.277230043E-1,2.317260579E1,-2.317260579E0
1.433333333E1,-5.066117988E0,1.891019947E-1,2.780712695E1,-2.317260579E0
1.434166667E1,-4.834391930E0,1.891019947E-1,3.012438753E1,-0.000000000E0
1.435000000E1,-4.564044863E0,1.891019947E-1,4.171069042E1,-2.317260579E0
1.435833333E1,-4.139213757E0,1.504809850E-1,3.939342984E1,-2.317260579E0
1.436666667E1,-3.907487699E0,1.504809850E-1,2.780712695E1,-0.000000000E0
1.437500000E1,-3.675761641E0,1.504809850E-1,3.475890868E1,2.317260579E0
1.438333333E1,-3.328172554E0,1.891019947E-1,5.352871937E2,4.634521158E0
1.439166667E1,5.245691588E0,2.277230043E-1,5.329699331E2,9.269042316E0
1.440000000E1,5.554659665E0,3.435860333E-1,3.012438753E1,6.951781737E0
1.440833333E1,5.747764713E0,3.435860333E-1,2.085534521E1,2.317260579E0
1.441666667E1,5.902248752E0,3.822070429E-1,1.622082405E1,2.317260579E0
1.442500000E1,6.018111781E0,3.822070429E-1,1.390356347E1,2.317260579E0
1.443333333E1,6.133974810E0,4.208280526E-1,1.158630289E1,2.317260579E0
1.444166667E1,6.211216829E0,4.208280526E-1,9.269042316E0,-0.000000000E0
1.445000000E1,6.288458848E0,4.208280526E-1,4.634521158E0,-0.000000000E0
1.445833333E1,6.288458848E0,4.208280526E-1,2.317260579E0,-0.000000000E0
1.446666667E1,6.327079858E0,4.208280526E-1,6.951781737E0,-0.000000000E0
1.447500000E1,6.404321877E0,4.208280526E-1,0.000000000E0,-2.317260579E0
1.448333333E1,6.327079858E0,3.822070429E-1,-6.951781737E0,-6.951781737E0
1.449166667E1,6.288458848E0,3.049650236E-1,-4.634521158E0,-4.634521158E0
1.450000000E1,6.249837839E0,3.049650236E-1,-9.269042316E0,-2.317260579E0
1.450833333E1,6.133974810E0,2.663440140E-1,-1.158630289E1,-4.634521158E0
1.451666667E1,6.056732790E0,2.277230043E-1,-1.390356347E1,-2.317260579E0
1.452500000E1,5.902248752E0,2.277230043E-1,-1.622082405E1,-0.000000000E0
1.453333333E1,5.786385723E0,2.277230043E-1,-1.390356347E1,-2.317260579E0
1.454166667E1,5.670522694E0,1.891019947E-1,-1.853808463E1,-6.951781737E0
1.455000000E1,5.477417646E0,1.118599754E-1,-1.853808463E1,-6.951781737E0
1.455833333E1,5.361554617E0,7.323896574E-2,-1.158630289E1,-4.634521158E0
1.456666667E1,5.284312597E0,3.461795609E-2,-2.085534521E1,-2.317260579E0
1.457500000E1,5.013965530E0,3.461795609E-2,-3.475890868E1,-0.000000000E0
1.458333333E1,4.704997453E0,3.461795609E-2,-3.012438753E1,-0.000000000E0
1.459166667E1,4.511892405E0,3.461795609E-2,-2.780712695E1,-0.000000000E0
1.460000000E1,4.241545337E0,3.461795609E-2,-2.780712695E1,2.317260579E0
1.460833333E1,4.048440289E0,7.323896574E-2,-2.548986637E1,4.634521158E0
1.461666667E1,3.816714231E0,1.118599754E-1,-2.317260579E1,2.317260579E0
1.462500000E1,3.662230192E0,1.118599754E-1,-2.085534521E1,-0.000000000E0
1.463333333E1,3.469125144E0,1.118599754E-1,-5.306526726E2,-2.317260579E0
1.464166667E1,-5.181981017E0,7.323896574E-2,-5.260181514E2,-2.317260579E0
1.465000000E1,-5.297844046E0,7.323896574E-2,-2.085534521E1,4.634521158E0
1.465833333E1,-5.529570104E0,1.504809850E-1,-2.317260579E1,4.634521158E0
1.466666667E1,-5.684054143E0,1.504809850E-1,-1.853808463E1,2.317260579E0
1.467500000E1,-5.838538181E0,1.891019947E-1,-1.622082405E1,4.634521158E0
1.468333333E1,-5.954401210E0,2.277230043E-1,-1.158630289E1,4.634521158E0
1.469166667E1,-6.031643229E0,2.663440140E-1,-6.951781737E0,4.634521158E0
1.470000000E1,-6.070264239E0,3.049650236E-1,-9.269042316E0,6.951781737E0
1.470833333E1,-6.186127268E0,3.822070429E-1,-6.951781737E0,4.634521158E0
1.471666667E1,-6.186127268E0,3.822070429E-1,0.000000000E0,1.658861516E-13
1.472500000E1,-6.186127268E0,3.822070429E-1,-2.317260579E0,-0.000000000E0
1.473333333E1,-6.224748278E0,3.822070429E-1,0.000000000E0,-1.658861516E-13
1.474166667E1,-6.186127268E0,3.822070429E-1,4.634521158E0,-0.000000000E0
1.475000000E1,-6.147506258E0,3.822070429E-1,6.951781737E0,-4.634521158E0
1.475833333E1,-6.070264239E0,3.049650236E-1,9.269042316E0,-4.634521158E0
1.476666667E1,-5.993022220E0,3.049650236E-1,6.951781737E0,-2.317260579E0
1.477500000E1,-5.954401210E0,2.663440140E-1,1.158630289E1,-4.634521158E0
1.478333333E1,-5.799917172E0,2.277230043E-1,1.622082405E1,-2.317260579E0
1.479166667E1,-5.684054143E0,2.277230043E-1,1.853808463E1,-2.317260579E0
1.480000000E1,-5.490949094E0,1.891019947E-1,2.317260579E1,-6.951781737E0
1.480833333E1,-5.297844046E0,1.118599754E-1,2.548986637E1,-4.634521158E0
1.481666667E1,-5.066117988E0,1.118599754E-1,2.548986637E1,2.317260579E0
1.482500000E1,-4.873012940E0,1.504809850E-1,2.548986637E1,2.317260579E0
1.483333333E1,-4.641286882E0,1.504809850E-1,2.317260579E1,-0.000000000E0
1.484166667E1,-4.486802843E0,1.504809850E-1,2.317260579E1,-0.000000000E0
1.485000000E1,-4.255076786E0,1.504809850E-1,3.012438753E1,-0.000000000E0
1.485833333E1,-3.984729718E0,1.504809850E-1,3.012438753E1,-0.000000000E0
