mass_A
t,x,y,v_{x},v_{y}
1.059166667E1,2.004909640E-2,3.661948287E-4,-2.931334632E0,-1.158630289E-2
1.060000000E1,-2.552369499E-2,3.661948287E-4,-2.908162027E0,1.158630289E-2
1.060833333E1,-2.842027071E-2,5.592998769E-4,-3.244164810E-1,3.475890868E-2
1.061666667E1,-3.093063634E-2,9.455099734E-4,-3.012438753E-1,4.634521158E-2
1.062500000E1,-3.344100197E-2,1.331720070E-3,-3.012438753E-1,4.634521158E-2
1.063333333E1,-3.595136759E-2,1.717930166E-3,-2.896575724E-1,5.793151447E-2
1.064166667E1,-3.826862817E-2,2.297245311E-3,-2.780712695E-1,1.274493318E-1
1.065000000E1,-4.058588875E-2,3.842085697E-3,-2.664849666E-1,1.390356347E-1
1.065833333E1,-4.271004428E-2,4.614505890E-3,-2.201397550E-1,1.158630289E-1
1.066666667E1,-4.425488467E-2,5.773136179E-3,-2.085534521E-1,1.390356347E-1
1.067500000E1,-4.618593515E-2,6.931766469E-3,-1.622082405E-1,1.042767260E-1
1.068333333E1,-4.695835534E-2,7.511081614E-3,-1.042767260E-1,5.793151447E-2
